window,target,Return,Risk, Residual
23,0,-0.000156617,0.026415,6.92726e-06
23,0.005,-0.00246162,0.0403917,7.57763e-06
23,0.01,-0.00484886,0.0567521,6.77488e-06
23,0.015,-0.00692735,0.0735737,0.000160974
23,0.02,-0.00963938,0.0916229,5.47783e-05
23,0.025,-0.0120562,0.109439,1.60826e-05
23,0.03,-0.0145862,0.127596,2.64988e-05
23,0.035,-0.0168408,0.145111,9.907e-05
23,0.04,-0.0192864,0.163167,2.01818e-05
23,0.045,-0.0220037,0.181641,0.000233968
23,0.05,-0.0243092,0.199552,5.48813e-05
23,0.055,-0.0266268,0.217444,0.000627452
23,0.06,-0.02894,0.235294,0.000147567
23,0.065,-0.0314698,0.25358,3.67481e-05
23,0.07,-0.0339207,0.271617,0.000150918
23,0.075,-0.0362198,0.289468,3.62141e-05
23,0.08,-0.0384732,0.307519,0.000225308
23,0.085,-0.0413547,0.326133,0.00074595
23,0.09,-0.0435748,0.344045,4.54454e-05
23,0.095,-0.0420848,0.356542,0.000237609
23,0.1,-0.049714,0.382576,0.00170077
24,0,-0.00425346,0.0315327,9.36542e-06
24,0.005,-0.00427599,0.045509,8.0555e-06
24,0.01,-0.00431238,0.06024,1.32776e-05
24,0.015,-0.00428556,0.0778112,2.25069e-05
24,0.02,-0.00444368,0.0913814,0.000718051
24,0.025,-0.00428883,0.111603,4.13864e-05
24,0.03,-0.00432248,0.128074,4.99384e-05
24,0.035,-0.00446144,0.143223,0.000440673
24,0.04,-0.00449755,0.160183,3.96152e-05
24,0.045,-0.00464743,0.175115,5.94056e-05
24,0.05,-0.00436132,0.197295,7.53297e-05
24,0.055,-0.00452477,0.211829,0.000160952
24,0.06,-0.00427516,0.233445,8.69933e-05
24,0.065,-0.00436966,0.249374,0.000595669
24,0.07,-0.00455535,0.264272,0.00035757
24,0.075,-0.00454094,0.281697,0.00011796
24,0.08,-0.00445157,0.299584,0.00301442
24,0.085,-0.00453141,0.316538,0.000323446
24,0.09,-0.00454448,0.334268,0.00128713
24,0.095,-0.00454226,0.351325,0.000169788
24,0.1,-0.00449429,0.369119,0.000212239
25,0,0.00106624,0.0319758,6.10918e-06
25,0.005,0.0020451,0.0386476,8.40908e-06
25,0.01,0.00298827,0.0482799,5.50983e-06
25,0.015,0.00413004,0.0595442,1.29745e-05
25,0.02,0.00517552,0.0715575,1.81168e-05
25,0.025,0.00602875,0.0840097,1.17694e-05
25,0.03,0.00711781,0.0968915,1.09162e-05
25,0.035,0.0080915,0.10987,0.000118489
25,0.04,0.00922397,0.12299,1.65598e-05
25,0.045,0.010301,0.136192,2.05357e-05
25,0.05,0.0112448,0.149471,2.36442e-05
25,0.055,0.0124498,0.162633,2.63513e-05
25,0.06,0.0133241,0.176112,2.78733e-05
25,0.065,0.0145262,0.189347,4.08924e-05
25,0.07,0.0153534,0.202892,3.03661e-05
25,0.075,0.0164286,0.216396,5.0067e-05
25,0.08,0.01743,0.229855,4.02082e-05
25,0.085,0.0183545,0.243217,3.05013e-05
25,0.09,0.0193548,0.256667,0.000646669
25,0.095,0.0202997,0.270135,3.03298e-05
25,0.1,0.0217067,0.283512,0.000135747
26,0,-0.00137338,0.0228874,7.71968e-06
26,0.005,-0.00582417,0.0255443,6.6108e-06
26,0.01,-0.00987552,0.0359488,0.000219944
26,0.015,-0.0136225,0.0489288,1.36629e-05
26,0.02,-0.0165192,0.0610345,0.000370538
26,0.025,-0.0211669,0.0780995,1.91252e-05
26,0.03,-0.0255451,0.0947077,0.000396689
26,0.035,-0.0289307,0.108866,0.00064007
26,0.04,-0.0328258,0.124477,4.29385e-05
26,0.045,-0.036427,0.139807,5.60713e-05
26,0.05,-0.0400321,0.154936,0.000390819
26,0.055,-0.0440208,0.171024,4.57302e-05
26,0.06,-0.0483128,0.187958,0.00026714
